sorting_algorithm, array_size, run_time, num_of_process, num_of_thread
mpi_openmp_quick, 10000000, 1.986832, 1, 4
mpi_openmp_merge, 10000000, 3.046919, 1, 4
mpi_openmp_quick, 10000000, 1.960484, 1, 5
mpi_openmp_merge, 10000000, 3.082695, 1, 5
mpi_openmp_quick, 10000000, 1.959613, 1, 6
mpi_openmp_merge, 10000000, 3.100471, 1, 6
mpi_openmp_quick, 10000000, 1.979099, 1, 7
mpi_openmp_merge, 10000000, 3.083801, 1, 7
mpi_openmp_quick, 10000000, 1.965904, 1, 8
mpi_openmp_merge, 10000000, 3.046514, 1, 8
mpi_openmp_quick, 10000000, 1.112853, 2, 1
mpi_openmp_merge, 10000000, 1.621492, 2, 1
mpi_openmp_quick, 10000000, 1.124437, 2, 2
mpi_openmp_merge, 10000000, 1.663483, 2, 2
mpi_openmp_quick, 10000000, 1.117464, 2, 3
mpi_openmp_merge, 10000000, 1.660626, 2, 3
mpi_openmp_quick, 10000000, 1.112831, 2, 4
mpi_openmp_merge, 10000000, 1.629157, 2, 4
mpi_openmp_quick, 10000000, 1.120288, 2, 5
mpi_openmp_merge, 10000000, 1.702524, 2, 5
mpi_openmp_quick, 10000000, 1.116782, 2, 6
mpi_openmp_merge, 10000000, 1.628853, 2, 6
mpi_openmp_quick, 10000000, 1.123596, 2, 7
mpi_openmp_merge, 10000000, 1.615991, 2, 7
mpi_openmp_quick, 10000000, 1.108518, 2, 8
mpi_openmp_merge, 10000000, 1.617767, 2, 8
mpi_openmp_quick, 10000000, 0.866455, 3, 1
mpi_openmp_merge, 10000000, 1.242314, 3, 1
mpi_openmp_quick, 10000000, 0.860592, 3, 2
mpi_openmp_merge, 10000000, 1.224435, 3, 2
mpi_openmp_quick, 10000000, 0.883842, 3, 3
mpi_openmp_merge, 10000000, 1.219100, 3, 3
mpi_openmp_quick, 10000000, 0.864298, 3, 4
mpi_openmp_merge, 10000000, 1.233664, 3, 4
mpi_openmp_quick, 10000000, 0.868443, 3, 5
mpi_openmp_merge, 10000000, 1.242220, 3, 5
mpi_openmp_quick, 10000000, 0.869225, 3, 6
mpi_openmp_merge, 10000000, 1.233642, 3, 6
mpi_openmp_quick, 10000000, 0.863430, 3, 7
mpi_openmp_merge, 10000000, 1.238766, 3, 7
mpi_openmp_quick, 10000000, 0.872108, 3, 8
mpi_openmp_merge, 10000000, 1.233222, 3, 8
mpi_openmp_quick, 10000000, 0.708342, 4, 1
mpi_openmp_merge, 10000000, 0.980222, 4, 1
mpi_openmp_quick, 10000000, 0.716880, 4, 2
mpi_openmp_merge, 10000000, 0.995955, 4, 2
mpi_openmp_quick, 10000000, 0.713136, 4, 3
mpi_openmp_merge, 10000000, 0.975419, 4, 3
mpi_openmp_quick, 10000000, 0.701027, 4, 4
mpi_openmp_merge, 10000000, 1.010215, 4, 4
mpi_openmp_quick, 10000000, 0.721984, 4, 5
mpi_openmp_merge, 10000000, 0.990905, 4, 5
mpi_openmp_quick, 10000000, 0.698105, 4, 6
mpi_openmp_merge, 10000000, 0.993735, 4, 6
mpi_openmp_quick, 10000000, 0.699355, 4, 7
mpi_openmp_merge, 10000000, 1.005446, 4, 7
mpi_openmp_quick, 10000000, 0.714971, 4, 8
mpi_openmp_merge, 10000000, 0.992198, 4, 8
mpi_openmp_quick, 10000000, 0.710127, 5, 1
mpi_openmp_merge, 10000000, 0.957191, 5, 1
mpi_openmp_quick, 10000000, 0.718764, 5, 2
mpi_openmp_merge, 10000000, 0.947918, 5, 2
mpi_openmp_quick, 10000000, 0.703705, 5, 3
mpi_openmp_merge, 10000000, 0.945610, 5, 3
mpi_openmp_quick, 10000000, 0.700031, 5, 4
mpi_openmp_merge, 10000000, 0.971845, 5, 4
mpi_openmp_quick, 10000000, 0.723859, 5, 5
mpi_openmp_merge, 10000000, 0.939063, 5, 5
mpi_openmp_quick, 10000000, 0.713889, 5, 6
mpi_openmp_merge, 10000000, 0.967691, 5, 6
mpi_openmp_quick, 10000000, 0.719567, 5, 7
mpi_openmp_merge, 10000000, 0.944851, 5, 7
mpi_openmp_quick, 10000000, 0.707994, 5, 8
mpi_openmp_merge, 10000000, 0.977492, 5, 8
mpi_openmp_quick, 10000000, 0.664569, 6, 1
mpi_openmp_merge, 10000000, 0.950396, 6, 1
mpi_openmp_quick, 10000000, 0.665434, 6, 2
mpi_openmp_merge, 10000000, 0.978737, 6, 2
mpi_openmp_quick, 10000000, 0.650235, 6, 3
mpi_openmp_merge, 10000000, 0.901269, 6, 3
mpi_openmp_quick, 10000000, 0.645096, 6, 4
mpi_openmp_merge, 10000000, 0.896046, 6, 4
